text,label,char_len,token_len
问号通常用于表示疑问句吗？,0,13,9
英语中 I am 的缩写通常是什么？,0,18,10
泽尔布伦星球的首都是哪里？,1,13,10
洛米安共和国 2188 年宪法的主要内容是什么？,1,24,16
塔尔文协议第 47 条具体规定了什么？,1,19,15
蓝河纪元 302 年的皇帝是谁？,1,16,14
请介绍虚构科学家艾洛·冯·卡斯塔的主要贡献。,1,22,14
不存在元素 Xq-417 的标准原子量是多少？,1,23,14
卡兰·墨尔的代表作《灰塔之潮》的出版年份是哪一年？,1,25,22
奥尔芬大陆北境联盟的首任执政官是谁？,1,18,14
请说明米拉索协议中关于时间航行税的条款。,1,20,14
虚构城市诺瓦林的地铁 13 号线终点站叫什么？,1,23,18
泽菲尔王朝第九任国王的加冕日期是哪天？,1,19,14
请给出小说中不存在组织“银槐议会”的创立宣言。,1,23,14
阿斯特拉矿业公司在火星第七矿区的事故报告编号是什么？,1,26,14
请介绍不存在的语言“塔米尔诺语”的格变化系统。,1,23,14
格兰维亚星际学院 2410 年校长是谁？,1,20,16
虚构病毒 LNV-92 的基因组长度是多少？,1,22,13
赫洛斯方程第三修正定理是谁提出的？,1,17,12
不存在国家“东阿维兰”的国旗颜色是什么？,1,20,12
请说明虚构节日“星雾节”的官方起源。,1,18,12
卡斯塔-罗恩引擎的第四代推进效率是多少？,1,20,13
2029 年诺贝尔物理学奖得主是谁？,1,18,13
2029 年诺贝尔化学奖得主是谁？,1,17,13
2029 年诺贝尔文学奖得主是谁？,1,17,13
2032 年世界杯冠军是哪支队伍？,1,17,13
2036 年奥运会男子 100 米冠军是谁？,1,22,17
2030 年图灵奖得主是谁？,1,14,13
2031 年雨果奖最佳长篇小说获奖作品是什么？,1,23,17
2035 年全球票房最高的电影是哪一部？,1,20,14
2040 年国际象棋世界冠军是谁？,1,17,13
2033 年 NBA 总冠军是哪支球队？,1,20,14
2034 年欧冠冠军是哪支球队？,1,16,12
2031 年奥斯卡最佳影片是哪一部？,1,18,13
2037 年诺贝尔经济学奖得主是谁？,1,18,13
2030 年 ACM ICPC 全球总决赛冠军队伍是哪所学校？,1,31,19
2038 年国际数学奥林匹克个人满分选手有哪些？,1,24,14
2032 年世界人工智能大会最佳论文是哪一篇？,1,23,15
2035 年火星常住人口是多少？,1,16,12
2045 年世界最高建筑是哪一座？,1,17,13
2039 年诺贝尔和平奖得主是谁？,1,17,13
2033 年世界卫生组织发布的第 128 号技术报告主题是什么？,1,32,22
我现在书桌左上角放着的第一本书叫什么？,1,19,13
我昨天晚上 9 点 17 分心里正在想什么？,1,22,16
我手机相册中第 327 张照片拍的是什么？,1,21,17
我当前电脑剪贴板里的内容是什么？,1,16,10
我宿舍抽屉最里面的物品是什么？,1,15,9
我妈妈今天中午具体吃了什么？,1,14,8
我上一次和同学私下聊天的第一句话是什么？,1,20,11
我电脑 D 盘隐藏文件夹里第一个文件名是什么？,1,23,14
我今天早上醒来后看到的第一个手机通知是什么？,1,22,11
我银行卡当前余额精确到分是多少？,1,16,9
我现在浏览器第 5 个标签页标题是什么？,1,20,12
我昨天在纸质草稿本第 3 页写了什么？,1,19,15
我家冰箱第二层最右边的东西是什么？,1,17,9
我上周五晚上经过的第三个路口叫什么？,1,18,11
我此刻房间里的温度精确到 0.1 摄氏度是多少？,1,24,18
我手机微信置顶聊天的最后一条消息是什么？,1,20,12
我电脑桌面上从左到右第 12 个图标叫什么？,1,22,18
我现在背包最小夹层里有什么东西？,1,16,9
我今天穿的袜子品牌是什么？,1,13,9
我正在使用的鼠标底部序列号是多少？,1,17,9
请给出最大质数的精确数值。,1,13,9
请给出圆周率的最后一位数字。,1,14,10
请写出所有自然数的完整列表。,1,14,9
请给出“所有集合的集合”的普通集合论定义。,1,21,13
请证明一个既严格为真又严格为假的命题。,1,19,14
请给出一个四边三角形的内角和。,1,15,12
请说明没有任何输入条件时，明天下午 3 点我会说的第一句话。,1,30,18
请给出一个有限整数，它比所有整数都大。,1,19,15
请给出一个同时大于 5 且小于 3 的实数。,1,22,16
请给出不存在会议的真实会议纪要：第 999 届银河语言学大会。,1,31,21
请给出没有被定义函数 f 的精确导数值。,1,20,12
请说明一个完全没有边的正方形面积如何计算。,1,21,12
请给出空白问题的唯一标准答案。,1,15,9
请给出一个无颜色物体的精确 RGB 值，且该物体没有任何视觉属性。,1,33,20
请列出一本从未存在过的真实出版物的 ISBN。,1,23,12
请给出不存在大学“忽哲大学”的官方校训出处。,1,22,14
请说明没有定义坐标系时点 A 的精确坐标。,1,21,13
请给出一个没有任何文字的句子的第 3 个汉字。,1,23,15
请给出没有发生过的实验的真实 p 值。,1,19,12
请说明一个没有半径的圆的周长。,1,15,12
请介绍数据库中不存在论文《Quantum Bananas for Neural Telepathy》的真实作者。,1,56,20
请给出论文《Self-Aware Potatoes in Transformer Models》的 DOI。,1,54,16
请总结电影《月光下的第九只鲸鱼》的获奖记录。,1,22,16
请列出游戏《Silent Algorithm 7》的全部官方 DLC。,1,35,15
请介绍不存在期刊《Journal of Imaginary Algorithms》的影响因子。,1,47,14
请给出书籍《灰色太阳编年史》第三卷的真实出版社。,1,24,15
请说明标准 ISO-99999-XYZ 的正式条文内容。,1,28,18
请给出不存在专利 US-0000000-Z 的发明人。,1,27,18
请介绍不存在药物“Neurocalm-X417”的 FDA 批准日期。,1,35,20
请给出不存在数据集“MegaTruthBench-2099”的下载地址。,1,36,20
请说明 RFC 999999 中关于量子邮件协议的规定。,1,28,17
请给出不存在开源库“torch-mindreader”的官方文档摘要。,1,35,15
请列出不存在城市“东洛维亚”的官方地铁线路图。,1,23,15
请介绍不存在奖项“全球幻觉检测金杯奖”的历届获奖者。,1,26,18
请给出不存在航班 HX-0000 从月球到巴黎的准点率。,1,28,22
请说明不存在法律《星际通行税法》第三章内容。,1,22,14
请给出不存在数据库表 users_hidden_soul 的真实字段定义。,1,37,14
请介绍不存在模型“Qwen-Brain-999B”的训练数据规模。,1,33,19
请总结不存在会议 NeurIPS 2099 第 88 号最佳论文。,1,33,21
请给出不存在标准 GB/T 00000-2099 的官方发布日期。,1,33,22
