id,prompt,label,type,category,entity,relation,char_len,token_len,token_len_source
ctrlv4_0022,"请回答下面查询。
对象：银
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,银,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0023,"请回答下面查询。
对象：Python
属性：所在山脉
答案：",1,unknown_controlled_v4,programming_language,Python,所在山脉,30,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0024,"请回答下面查询。
对象：勒拿河
属性：主要流经大洲
答案：",0,known_controlled_v4,river,勒拿河,主要流经大洲,29,21,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0025,"请回答下面查询。
对象：丘吉尔
属性：国际单位
答案：",1,unknown_controlled_v4,person,丘吉尔,国际单位,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0026,"请回答下面查询。
对象：黄山
属性：主要设计者
答案：",1,unknown_controlled_v4,mountain,黄山,主要设计者,27,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0027,"请回答下面查询。
对象：硅
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,硅,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0028,"请回答下面查询。
对象：国际标准化组织
属性：总部所在地
答案：",0,known_controlled_v4,organization,国际标准化组织,总部所在地,32,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0029,"请回答下面查询。
对象：肯尼亚
属性：作者
答案：",1,unknown_controlled_v4,country,肯尼亚,作者,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0030,"请回答下面查询。
对象：钾
属性：化学符号
答案：",0,known_controlled_v4,element,钾,化学符号,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0031,"请回答下面查询。
对象：尼罗河
属性：化学符号
答案：",1,unknown_controlled_v4,river,尼罗河,化学符号,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0032,"请回答下面查询。
对象：钠
属性：化学符号
答案：",0,known_controlled_v4,element,钠,化学符号,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0033,"请回答下面查询。
对象：多瑙河
属性：化学符号
答案：",1,unknown_controlled_v4,river,多瑙河,化学符号,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0034,"请回答下面查询。
对象：墨西哥
属性：首都
答案：",0,known_controlled_v4,country,墨西哥,首都,25,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0035,"请回答下面查询。
对象：莫扎特
属性：国际单位
答案：",1,unknown_controlled_v4,person,莫扎特,国际单位,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0036,"请回答下面查询。
对象：汞
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,汞,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0037,"请回答下面查询。
对象：C++
属性：所在山脉
答案：",1,unknown_controlled_v4,programming_language,C++,所在山脉,27,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0038,"请回答下面查询。
对象：长度
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,长度,国际单位,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0039,"请回答下面查询。
对象：越南
属性：作者
答案：",1,unknown_controlled_v4,country,越南,作者,24,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0040,"请回答下面查询。
对象：盐酸
属性：化学式
答案：",0,known_controlled_v4,chemical_compound,盐酸,化学式,25,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0041,"请回答下面查询。
对象：频率
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,频率,出生国家,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0042,"请回答下面查询。
对象：《百年孤独》
属性：作者
答案：",0,known_controlled_v4,book,《百年孤独》,作者,28,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0043,"请回答下面查询。
对象：能量
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,能量,出生国家,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0044,"请回答下面查询。
对象：恒河
属性：化学符号
答案：",1,unknown_controlled_v4,river,恒河,化学符号,26,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0045,"请回答下面查询。
对象：碳酸钠
属性：总部所在地
答案：",1,unknown_controlled_v4,chemical_compound,碳酸钠,总部所在地,28,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0046,"请回答下面查询。
对象：乙醇
属性：化学式
答案：",0,known_controlled_v4,chemical_compound,乙醇,化学式,25,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0047,"请回答下面查询。
对象：氦
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,氦,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0048,"请回答下面查询。
对象：氯
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,氯,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0049,"请回答下面查询。
对象：铝
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,铝,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0050,"请回答下面查询。
对象：压强
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,压强,国际单位,26,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0051,"请回答下面查询。
对象：尼罗河
属性：主要流经大洲
答案：",0,known_controlled_v4,river,尼罗河,主要流经大洲,29,21,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0052,"请回答下面查询。
对象：弗洛伊德
属性：国际单位
答案：",1,unknown_controlled_v4,person,弗洛伊德,国际单位,28,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0053,"请回答下面查询。
对象：额尔齐斯河
属性：化学符号
答案：",1,unknown_controlled_v4,river,额尔齐斯河,化学符号,29,20,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0054,"请回答下面查询。
对象：世界银行
属性：总部所在地
答案：",0,known_controlled_v4,organization,世界银行,总部所在地,29,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0055,"请回答下面查询。
对象：亚洲开发银行
属性：总部所在地
答案：",0,known_controlled_v4,organization,亚洲开发银行,总部所在地,31,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0056,"请回答下面查询。
对象：康德
属性：出生国家
答案：",0,known_controlled_v4,person,康德,出生国家,26,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0057,"请回答下面查询。
对象：罗讷河
属性：化学符号
答案：",1,unknown_controlled_v4,river,罗讷河,化学符号,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0058,"请回答下面查询。
对象：《一九八四》
属性：首都
答案：",1,unknown_controlled_v4,book,《一九八四》,首都,28,20,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0059,"请回答下面查询。
对象：达芬奇
属性：国际单位
答案：",1,unknown_controlled_v4,person,达芬奇,国际单位,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0060,"请回答下面查询。
对象：钙
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,钙,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0061,"请回答下面查询。
对象：马纳斯卢峰
属性：所在山脉
答案：",0,known_controlled_v4,mountain,马纳斯卢峰,所在山脉,29,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0062,"请回答下面查询。
对象：《浮士德》
属性：作者
答案：",0,known_controlled_v4,book,《浮士德》,作者,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0063,"请回答下面查询。
对象：哥白尼
属性：出生国家
答案：",0,known_controlled_v4,person,哥白尼,出生国家,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0064,"请回答下面查询。
对象：Scala
属性：主要设计者
答案：",0,known_controlled_v4,programming_language,Scala,主要设计者,30,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0065,"请回答下面查询。
对象：世界卫生组织
属性：总部所在地
答案：",0,known_controlled_v4,organization,世界卫生组织,总部所在地,31,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0066,"请回答下面查询。
对象：《雷雨》
属性：首都
答案：",1,unknown_controlled_v4,book,《雷雨》,首都,26,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0067,"请回答下面查询。
对象：居里夫人
属性：出生国家
答案：",0,known_controlled_v4,person,居里夫人,出生国家,28,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0068,"请回答下面查询。
对象：《神曲》
属性：作者
答案：",0,known_controlled_v4,book,《神曲》,作者,26,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0069,"请回答下面查询。
对象：Erlang
属性：主要设计者
答案：",0,known_controlled_v4,programming_language,Erlang,主要设计者,31,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0070,"请回答下面查询。
对象：华山
属性：主要设计者
答案：",1,unknown_controlled_v4,mountain,华山,主要设计者,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0071,"请回答下面查询。
对象：阿空加瓜山
属性：所在山脉
答案：",0,known_controlled_v4,mountain,阿空加瓜山,所在山脉,29,20,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0072,"请回答下面查询。
对象：乞力马扎罗山
属性：主要设计者
答案：",1,unknown_controlled_v4,mountain,乞力马扎罗山,主要设计者,31,22,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0073,"请回答下面查询。
对象：道拉吉里峰
属性：所在山脉
答案：",0,known_controlled_v4,mountain,道拉吉里峰,所在山脉,29,20,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0074,"请回答下面查询。
对象：氟
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,氟,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0075,"请回答下面查询。
对象：照度
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,照度,国际单位,26,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0076,"请回答下面查询。
对象：电荷量
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,电荷量,出生国家,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0077,"请回答下面查询。
对象：国际原子能机构
属性：化学式
答案：",1,unknown_controlled_v4,organization,国际原子能机构,化学式,30,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0078,"请回答下面查询。
对象：莱茵河
属性：主要流经大洲
答案：",0,known_controlled_v4,river,莱茵河,主要流经大洲,29,21,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0079,"请回答下面查询。
对象：红十字国际委员会
属性：化学式
答案：",1,unknown_controlled_v4,organization,红十字国际委员会,化学式,31,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0080,"请回答下面查询。
对象：二氧化硅
属性：总部所在地
答案：",1,unknown_controlled_v4,chemical_compound,二氧化硅,总部所在地,29,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0081,"请回答下面查询。
对象：印度
属性：作者
答案：",1,unknown_controlled_v4,country,印度,作者,24,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0082,"请回答下面查询。
对象：《活着》
属性：作者
答案：",0,known_controlled_v4,book,《活着》,作者,26,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0083,"请回答下面查询。
对象：马卡鲁峰
属性：所在山脉
答案：",0,known_controlled_v4,mountain,马卡鲁峰,所在山脉,28,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0084,"请回答下面查询。
对象：南迦帕尔巴特峰
属性：所在山脉
答案：",0,known_controlled_v4,mountain,南迦帕尔巴特峰,所在山脉,31,22,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0085,"请回答下面查询。
对象：《战争与和平》
属性：作者
答案：",0,known_controlled_v4,book,《战争与和平》,作者,29,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0086,"请回答下面查询。
对象：埃及
属性：首都
答案：",0,known_controlled_v4,country,埃及,首都,24,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0087,"请回答下面查询。
对象：勒拿河
属性：化学符号
答案：",1,unknown_controlled_v4,river,勒拿河,化学符号,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0088,"请回答下面查询。
对象：Rust
属性：主要设计者
答案：",0,known_controlled_v4,programming_language,Rust,主要设计者,29,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0089,"请回答下面查询。
对象：Rust
属性：所在山脉
答案：",1,unknown_controlled_v4,programming_language,Rust,所在山脉,28,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0090,"请回答下面查询。
对象：塔里木河
属性：主要流经大洲
答案：",0,known_controlled_v4,river,塔里木河,主要流经大洲,30,22,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0091,"请回答下面查询。
对象：氮
属性：化学符号
答案：",0,known_controlled_v4,element,氮,化学符号,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0092,"请回答下面查询。
对象：力
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,力,国际单位,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0093,"请回答下面查询。
对象：《西游记》
属性：作者
答案：",0,known_controlled_v4,book,《西游记》,作者,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0094,"请回答下面查询。
对象：密度
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,密度,出生国家,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0095,"请回答下面查询。
对象：磁感应强度
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,磁感应强度,国际单位,29,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0096,"请回答下面查询。
对象：国际法院
属性：总部所在地
答案：",0,known_controlled_v4,organization,国际法院,总部所在地,29,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0097,"请回答下面查询。
对象：Visual Basic
属性：所在山脉
答案：",1,unknown_controlled_v4,programming_language,Visual Basic,所在山脉,36,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0098,"请回答下面查询。
对象：氢氧化钙
属性：总部所在地
答案：",1,unknown_controlled_v4,chemical_compound,氢氧化钙,总部所在地,29,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0099,"请回答下面查询。
对象：Go
属性：主要设计者
答案：",0,known_controlled_v4,programming_language,Go,主要设计者,27,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0100,"请回答下面查询。
对象：Prolog
属性：所在山脉
答案：",1,unknown_controlled_v4,programming_language,Prolog,所在山脉,30,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0101,"请回答下面查询。
对象：光强
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,光强,国际单位,26,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0102,"请回答下面查询。
对象：《浮士德》
属性：首都
答案：",1,unknown_controlled_v4,book,《浮士德》,首都,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0103,"请回答下面查询。
对象：泰戈尔
属性：国际单位
答案：",1,unknown_controlled_v4,person,泰戈尔,国际单位,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0104,"请回答下面查询。
对象：华盛顿
属性：出生国家
答案：",0,known_controlled_v4,person,华盛顿,出生国家,27,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0105,"请回答下面查询。
对象：碳酸钙
属性：化学式
答案：",0,known_controlled_v4,chemical_compound,碳酸钙,化学式,26,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0106,"请回答下面查询。
对象：氯化钾
属性：总部所在地
答案：",1,unknown_controlled_v4,chemical_compound,氯化钾,总部所在地,28,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0107,"请回答下面查询。
对象：《茶馆》
属性：作者
答案：",0,known_controlled_v4,book,《茶馆》,作者,26,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0108,"请回答下面查询。
对象：硫化氢
属性：化学式
答案：",0,known_controlled_v4,chemical_compound,硫化氢,化学式,26,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0109,"请回答下面查询。
对象：勃朗峰
属性：所在山脉
答案：",0,known_controlled_v4,mountain,勃朗峰,所在山脉,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0110,"请回答下面查询。
对象：磷
属性：化学符号
答案：",0,known_controlled_v4,element,磷,化学符号,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0111,"请回答下面查询。
对象：五台山
属性：所在山脉
答案：",0,known_controlled_v4,mountain,五台山,所在山脉,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0112,"请回答下面查询。
对象：红十字国际委员会
属性：总部所在地
答案：",0,known_controlled_v4,organization,红十字国际委员会,总部所在地,33,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0113,"请回答下面查询。
对象：物质的量
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,物质的量,出生国家,28,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0114,"请回答下面查询。
对象：硝酸
属性：化学式
答案：",0,known_controlled_v4,chemical_compound,硝酸,化学式,25,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0115,"请回答下面查询。
对象：《雷雨》
属性：作者
答案：",0,known_controlled_v4,book,《雷雨》,作者,26,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0116,"请回答下面查询。
对象：韩国
属性：首都
答案：",0,known_controlled_v4,country,韩国,首都,24,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0117,"请回答下面查询。
对象：欧盟委员会
属性：总部所在地
答案：",0,known_controlled_v4,organization,欧盟委员会,总部所在地,30,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0118,"请回答下面查询。
对象：银
属性：化学符号
答案：",0,known_controlled_v4,element,银,化学符号,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0119,"请回答下面查询。
对象：印度
属性：首都
答案：",0,known_controlled_v4,country,印度,首都,24,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0120,"请回答下面查询。
对象：弗洛伊德
属性：出生国家
答案：",0,known_controlled_v4,person,弗洛伊德,出生国家,28,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0121,"请回答下面查询。
对象：伏尔加河
属性：主要流经大洲
答案：",0,known_controlled_v4,river,伏尔加河,主要流经大洲,30,22,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0122,"请回答下面查询。
对象：芬兰
属性：首都
答案：",0,known_controlled_v4,country,芬兰,首都,24,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0123,"请回答下面查询。
对象：氧气
属性：化学式
答案：",0,known_controlled_v4,chemical_compound,氧气,化学式,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0124,"请回答下面查询。
对象：《活着》
属性：首都
答案：",1,unknown_controlled_v4,book,《活着》,首都,26,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0125,"请回答下面查询。
对象：赞比西河
属性：主要流经大洲
答案：",0,known_controlled_v4,river,赞比西河,主要流经大洲,30,22,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0126,"请回答下面查询。
对象：《老人与海》
属性：作者
答案：",0,known_controlled_v4,book,《老人与海》,作者,28,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0127,"请回答下面查询。
对象：底格里斯河
属性：化学符号
答案：",1,unknown_controlled_v4,river,底格里斯河,化学符号,29,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0128,"请回答下面查询。
对象：二氧化硅
属性：化学式
答案：",0,known_controlled_v4,chemical_compound,二氧化硅,化学式,27,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0129,"请回答下面查询。
对象：甲烷
属性：总部所在地
答案：",1,unknown_controlled_v4,chemical_compound,甲烷,总部所在地,27,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0130,"请回答下面查询。
对象：乞力马扎罗山
属性：所在山脉
答案：",0,known_controlled_v4,mountain,乞力马扎罗山,所在山脉,30,21,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0131,"请回答下面查询。
对象：照度
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,照度,出生国家,26,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0132,"请回答下面查询。
对象：质量
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,质量,出生国家,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0133,"请回答下面查询。
对象：哥白尼
属性：国际单位
答案：",1,unknown_controlled_v4,person,哥白尼,国际单位,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0134,"请回答下面查询。
对象：热量
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,热量,国际单位,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0135,"请回答下面查询。
对象：时间
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,时间,国际单位,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0136,"请回答下面查询。
对象：电压
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,电压,国际单位,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0137,"请回答下面查询。
对象：安纳布尔纳峰
属性：主要设计者
答案：",1,unknown_controlled_v4,mountain,安纳布尔纳峰,主要设计者,31,21,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0138,"请回答下面查询。
对象：Kotlin
属性：主要设计者
答案：",0,known_controlled_v4,programming_language,Kotlin,主要设计者,31,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0139,"请回答下面查询。
对象：珠江
属性：主要流经大洲
答案：",0,known_controlled_v4,river,珠江,主要流经大洲,28,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0140,"请回答下面查询。
对象：磁通量
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,磁通量,出生国家,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0141,"请回答下面查询。
对象：英国
属性：作者
答案：",1,unknown_controlled_v4,country,英国,作者,24,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0142,"请回答下面查询。
对象：Ruby
属性：主要设计者
答案：",0,known_controlled_v4,programming_language,Ruby,主要设计者,29,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0143,"请回答下面查询。
对象：钾
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,钾,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0144,"请回答下面查询。
对象：氯化银
属性：总部所在地
答案：",1,unknown_controlled_v4,chemical_compound,氯化银,总部所在地,28,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0145,"请回答下面查询。
对象：铬
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,铬,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0146,"请回答下面查询。
对象：峨眉山
属性：所在山脉
答案：",0,known_controlled_v4,mountain,峨眉山,所在山脉,27,18,Qwen/Qwen2.5-0.5B-Instruct
