id,prompt,label,type,category,entity,relation,char_len,token_len,token_len_source
ctrlv4_0022,"请回答下面查询。
对象：银
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,银,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0023,"请回答下面查询。
对象：Python
属性：所在山脉
答案：",1,unknown_controlled_v4,programming_language,Python,所在山脉,30,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0024,"请回答下面查询。
对象：勒拿河
属性：主要流经大洲
答案：",0,known_controlled_v4,river,勒拿河,主要流经大洲,29,21,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0025,"请回答下面查询。
对象：丘吉尔
属性：国际单位
答案：",1,unknown_controlled_v4,person,丘吉尔,国际单位,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0026,"请回答下面查询。
对象：黄山
属性：主要设计者
答案：",1,unknown_controlled_v4,mountain,黄山,主要设计者,27,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0027,"请回答下面查询。
对象：硅
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,硅,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0028,"请回答下面查询。
对象：国际标准化组织
属性：总部所在地
答案：",0,known_controlled_v4,organization,国际标准化组织,总部所在地,32,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0029,"请回答下面查询。
对象：肯尼亚
属性：作者
答案：",1,unknown_controlled_v4,country,肯尼亚,作者,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0030,"请回答下面查询。
对象：钾
属性：化学符号
答案：",0,known_controlled_v4,element,钾,化学符号,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0031,"请回答下面查询。
对象：尼罗河
属性：化学符号
答案：",1,unknown_controlled_v4,river,尼罗河,化学符号,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0032,"请回答下面查询。
对象：钠
属性：化学符号
答案：",0,known_controlled_v4,element,钠,化学符号,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0033,"请回答下面查询。
对象：多瑙河
属性：化学符号
答案：",1,unknown_controlled_v4,river,多瑙河,化学符号,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0034,"请回答下面查询。
对象：墨西哥
属性：首都
答案：",0,known_controlled_v4,country,墨西哥,首都,25,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0035,"请回答下面查询。
对象：莫扎特
属性：国际单位
答案：",1,unknown_controlled_v4,person,莫扎特,国际单位,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0036,"请回答下面查询。
对象：汞
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,汞,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0037,"请回答下面查询。
对象：C++
属性：所在山脉
答案：",1,unknown_controlled_v4,programming_language,C++,所在山脉,27,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0038,"请回答下面查询。
对象：长度
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,长度,国际单位,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0039,"请回答下面查询。
对象：越南
属性：作者
答案：",1,unknown_controlled_v4,country,越南,作者,24,15,Qwen/Qwen2.5-0.5B-Instruct
