entity,count,nunique
国际标准化组织,2,2
国际民航组织,2,2
国际法院,2,2
国际海事组织,2,2
国际电信联盟,2,2
国际能源署,2,2
国际货币基金组织,2,2
国际足联,2,2
土耳其,2,2
埃及,2,2
塔里木河,2,2
塞纳河,2,2
墨累河,2,2
墨西哥,2,2
多瑙河,2,2
奥林匹斯山,2,2
奥里诺科河,2,2
安徒生,2,2
安纳布尔纳峰,2,2
密度,2,2
密西西比河,2,2
富士山,2,2
尼日利亚,2,2
尼罗河,2,2
居里夫人,2,2
峨眉山,2,2
巴西,2,2
巴赫,2,2
希腊,2,2
干城章嘉峰,2,2
幼发拉底河,2,2
庐山,2,2
底格里斯河,2,2
康德,2,2
弗洛伊德,2,2
德国,2,2
德纳里峰,2,2
恒河,2,2
惠特尼山,2,2
意大利,2,2
托尔斯泰,2,2
拉普拉塔河,2,2
拿破仑,2,2
挪威,2,2
放射性活度,2,2
日本,2,2
时间,2,2
易北河,2,2
智利,2,2
林肯,2,2
柏拉图,2,2
欧洲中央银行,2,2
欧盟委员会,2,2
武夷山,2,2
氖,2,2
氟,2,2
氢,2,2
氢气,2,2
氢氧化钙,2,2
氢氧化钠,2,2
氦,2,2
氧,2,2
氧化铝,2,2
氧气,2,2
氨气,2,2
氩,2,2
氮,2,2
氮气,2,2
氯,2,2
氯化钠,2,2
氯化钾,2,2
氯化银,2,2
氯气,2,2
水,2,2
汞,2,2
法国,2,2
波兰,2,2
泰国,2,2
泰山,2,2
泰戈尔,2,2
泰晤士河,2,2
洛子峰,2,2
温度,2,2
湄公河,2,2
澳大利亚,2,2
热量,2,2
照度,2,2
爱因斯坦,2,2
牛顿,2,2
物质的量,2,2
特斯拉,2,2
玉山,2,2
珠江,2,2
珠穆朗玛峰,2,2
瑞典,2,2
瑞士,2,2
甲烷,2,2
电压,2,2
电容,2,2
电感,2,2
电流,2,2
电荷量,2,2
电阻,2,2
盐酸,2,2
石油输出国组织,2,2
硅,2,2
硝酸,2,2
硫,2,2
硫化氢,2,2
硫酸,2,2
硫酸铜,2,2
硼,2,2
碘,2,2
碳,2,2
碳酸氢钠,2,2
碳酸钙,2,2
碳酸钠,2,2
磁感应强度,2,2
磁通量,2,2
磷,2,2
笛卡尔,2,2
红十字国际委员会,2,2
维苏威火山,2,2
罗讷河,2,2
美国,2,2
联合国,2,2
联合国儿童基金会,2,2
联合国教科文组织,2,2
肖邦,2,2
肯尼亚,2,2
能量,2,2
臭氧,2,2
芬兰,2,2
苏格拉底,2,2
英国,2,2
莎士比亚,2,2
莫扎特,2,2
莱茵河,2,2
葡萄牙,2,2
葡萄糖,2,2
西班牙,2,2
角速度,2,2
贝多芬,2,2
质量,2,2
赞比西河,2,2
越南,2,2
达尔文,2,2
达芬奇,2,2
过氧化氢,2,2
速度,2,2
道拉吉里峰,2,2
鄂毕河,2,2
金,2,2
钙,2,2
钠,2,2
钾,2,2
铁,2,2
铅,2,2
铜,2,2
铝,2,2
铬,2,2
银,2,2
锂,2,2
锌,2,2
锰,2,2
镁,2,2
镍,2,2
长度,2,2
长江,2,2
门捷列夫,2,2
阿姆河,2,2
阿尔卑斯山主峰,2,2
阿拉伯联盟,2,2
阿根廷,2,2
阿空加瓜山,2,2
雨果,2,2
非洲联盟,2,2
面积,2,2
韩国,2,2
频率,2,2
额尔齐斯河,2,2
马克思,2,2
马卡鲁峰,2,2
马纳斯卢峰,2,2
黄山,2,2
黄河,2,2
黑格尔,2,2
黑龙江,2,2
