id,prompt,label,type,category,entity,relation,char_len,token_len,token_len_source
ctrlv3_0015,请回答：联合国教科文组织的总部所在地是什么？,0,known_controlled_v3,organization,联合国教科文组织,总部所在地,22,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0016,请回答：速度的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,速度,出生国家,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0017,请回答：门捷列夫的出生国家是什么？,0,known_controlled_v3,person,门捷列夫,出生国家,17,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0018,请回答：珠穆朗玛峰的所在山脉是什么？,0,known_controlled_v3,mountain,珠穆朗玛峰,所在山脉,18,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0019,请回答：铅的化学符号是什么？,0,known_controlled_v3,element,铅,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0020,请回答：维苏威火山的主要设计者是什么？,1,unknown_controlled_v3,mountain,维苏威火山,主要设计者,19,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0021,请回答：功率的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,功率,出生国家,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0022,请回答：银的主要流经大洲是什么？,1,unknown_controlled_v3,element,银,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0023,请回答：Python的所在山脉是什么？,1,unknown_controlled_v3,programming_language,Python,所在山脉,19,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0024,请回答：勒拿河的主要流经大洲是什么？,0,known_controlled_v3,river,勒拿河,主要流经大洲,18,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0025,请回答：丘吉尔的国际单位是什么？,1,unknown_controlled_v3,person,丘吉尔,国际单位,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0026,请回答：黄山的主要设计者是什么？,1,unknown_controlled_v3,mountain,黄山,主要设计者,16,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0027,请回答：硅的主要流经大洲是什么？,1,unknown_controlled_v3,element,硅,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0028,请回答：国际标准化组织的总部所在地是什么？,0,known_controlled_v3,organization,国际标准化组织,总部所在地,21,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0029,请回答：肯尼亚的作者是什么？,1,unknown_controlled_v3,country,肯尼亚,作者,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0030,请回答：钾的化学符号是什么？,0,known_controlled_v3,element,钾,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0031,请回答：尼罗河的化学符号是什么？,1,unknown_controlled_v3,river,尼罗河,化学符号,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0032,请回答：钠的化学符号是什么？,0,known_controlled_v3,element,钠,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0033,请回答：多瑙河的化学符号是什么？,1,unknown_controlled_v3,river,多瑙河,化学符号,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0034,请回答：墨西哥的首都是什么？,0,known_controlled_v3,country,墨西哥,首都,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0035,请回答：莫扎特的国际单位是什么？,1,unknown_controlled_v3,person,莫扎特,国际单位,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0036,请回答：汞的主要流经大洲是什么？,1,unknown_controlled_v3,element,汞,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0037,请回答：C++的所在山脉是什么？,1,unknown_controlled_v3,programming_language,C++,所在山脉,16,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0038,请回答：长度的国际单位是什么？,0,known_controlled_v3,physical_quantity,长度,国际单位,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0039,请回答：越南的作者是什么？,1,unknown_controlled_v3,country,越南,作者,13,8,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0040,请回答：盐酸的化学式是什么？,0,known_controlled_v3,chemical_compound,盐酸,化学式,14,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0041,请回答：频率的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,频率,出生国家,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0042,请回答：《百年孤独》的作者是什么？,0,known_controlled_v3,book,《百年孤独》,作者,17,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0043,请回答：能量的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,能量,出生国家,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0044,请回答：恒河的化学符号是什么？,1,unknown_controlled_v3,river,恒河,化学符号,15,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0045,请回答：碳酸钠的总部所在地是什么？,1,unknown_controlled_v3,chemical_compound,碳酸钠,总部所在地,17,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0046,请回答：乙醇的化学式是什么？,0,known_controlled_v3,chemical_compound,乙醇,化学式,14,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0047,请回答：氦的主要流经大洲是什么？,1,unknown_controlled_v3,element,氦,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0048,请回答：氯的主要流经大洲是什么？,1,unknown_controlled_v3,element,氯,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0049,请回答：铝的主要流经大洲是什么？,1,unknown_controlled_v3,element,铝,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0050,请回答：压强的国际单位是什么？,0,known_controlled_v3,physical_quantity,压强,国际单位,15,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0051,请回答：尼罗河的主要流经大洲是什么？,0,known_controlled_v3,river,尼罗河,主要流经大洲,18,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0052,请回答：弗洛伊德的国际单位是什么？,1,unknown_controlled_v3,person,弗洛伊德,国际单位,17,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0053,请回答：额尔齐斯河的化学符号是什么？,1,unknown_controlled_v3,river,额尔齐斯河,化学符号,18,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0054,请回答：世界银行的总部所在地是什么？,0,known_controlled_v3,organization,世界银行,总部所在地,18,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0055,请回答：亚洲开发银行的总部所在地是什么？,0,known_controlled_v3,organization,亚洲开发银行,总部所在地,20,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0056,请回答：康德的出生国家是什么？,0,known_controlled_v3,person,康德,出生国家,15,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0057,请回答：罗讷河的化学符号是什么？,1,unknown_controlled_v3,river,罗讷河,化学符号,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0058,请回答：《一九八四》的首都是什么？,1,unknown_controlled_v3,book,《一九八四》,首都,17,14,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0059,请回答：达芬奇的国际单位是什么？,1,unknown_controlled_v3,person,达芬奇,国际单位,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0060,请回答：钙的主要流经大洲是什么？,1,unknown_controlled_v3,element,钙,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0061,请回答：马纳斯卢峰的所在山脉是什么？,0,known_controlled_v3,mountain,马纳斯卢峰,所在山脉,18,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0062,请回答：《浮士德》的作者是什么？,0,known_controlled_v3,book,《浮士德》,作者,16,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0063,请回答：哥白尼的出生国家是什么？,0,known_controlled_v3,person,哥白尼,出生国家,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0064,请回答：Scala的主要设计者是什么？,0,known_controlled_v3,programming_language,Scala,主要设计者,19,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0065,请回答：世界卫生组织的总部所在地是什么？,0,known_controlled_v3,organization,世界卫生组织,总部所在地,20,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0066,请回答：《雷雨》的首都是什么？,1,unknown_controlled_v3,book,《雷雨》,首都,15,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0067,请回答：居里夫人的出生国家是什么？,0,known_controlled_v3,person,居里夫人,出生国家,17,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0068,请回答：《神曲》的作者是什么？,0,known_controlled_v3,book,《神曲》,作者,15,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0069,请回答：Erlang的主要设计者是什么？,0,known_controlled_v3,programming_language,Erlang,主要设计者,20,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0070,请回答：华山的主要设计者是什么？,1,unknown_controlled_v3,mountain,华山,主要设计者,16,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0071,请回答：阿空加瓜山的所在山脉是什么？,0,known_controlled_v3,mountain,阿空加瓜山,所在山脉,18,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0072,请回答：乞力马扎罗山的主要设计者是什么？,1,unknown_controlled_v3,mountain,乞力马扎罗山,主要设计者,20,14,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0073,请回答：道拉吉里峰的所在山脉是什么？,0,known_controlled_v3,mountain,道拉吉里峰,所在山脉,18,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0074,请回答：氟的主要流经大洲是什么？,1,unknown_controlled_v3,element,氟,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0075,请回答：照度的国际单位是什么？,0,known_controlled_v3,physical_quantity,照度,国际单位,15,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0076,请回答：电荷量的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,电荷量,出生国家,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0077,请回答：国际原子能机构的化学式是什么？,1,unknown_controlled_v3,organization,国际原子能机构,化学式,19,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0078,请回答：莱茵河的主要流经大洲是什么？,0,known_controlled_v3,river,莱茵河,主要流经大洲,18,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0079,请回答：红十字国际委员会的化学式是什么？,1,unknown_controlled_v3,organization,红十字国际委员会,化学式,20,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0080,请回答：二氧化硅的总部所在地是什么？,1,unknown_controlled_v3,chemical_compound,二氧化硅,总部所在地,18,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0081,请回答：印度的作者是什么？,1,unknown_controlled_v3,country,印度,作者,13,8,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0082,请回答：《活着》的作者是什么？,0,known_controlled_v3,book,《活着》,作者,15,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0083,请回答：马卡鲁峰的所在山脉是什么？,0,known_controlled_v3,mountain,马卡鲁峰,所在山脉,17,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0084,请回答：南迦帕尔巴特峰的所在山脉是什么？,0,known_controlled_v3,mountain,南迦帕尔巴特峰,所在山脉,20,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0085,请回答：《战争与和平》的作者是什么？,0,known_controlled_v3,book,《战争与和平》,作者,18,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0086,请回答：埃及的首都是什么？,0,known_controlled_v3,country,埃及,首都,13,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0087,请回答：勒拿河的化学符号是什么？,1,unknown_controlled_v3,river,勒拿河,化学符号,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0088,请回答：Rust的主要设计者是什么？,0,known_controlled_v3,programming_language,Rust,主要设计者,18,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0089,请回答：Rust的所在山脉是什么？,1,unknown_controlled_v3,programming_language,Rust,所在山脉,17,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0090,请回答：塔里木河的主要流经大洲是什么？,0,known_controlled_v3,river,塔里木河,主要流经大洲,19,14,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0091,请回答：氮的化学符号是什么？,0,known_controlled_v3,element,氮,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0092,请回答：力的国际单位是什么？,0,known_controlled_v3,physical_quantity,力,国际单位,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0093,请回答：《西游记》的作者是什么？,0,known_controlled_v3,book,《西游记》,作者,16,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0094,请回答：密度的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,密度,出生国家,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0095,请回答：磁感应强度的国际单位是什么？,0,known_controlled_v3,physical_quantity,磁感应强度,国际单位,18,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0096,请回答：国际法院的总部所在地是什么？,0,known_controlled_v3,organization,国际法院,总部所在地,18,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0097,请回答：Visual Basic的所在山脉是什么？,1,unknown_controlled_v3,programming_language,Visual Basic,所在山脉,25,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0098,请回答：氢氧化钙的总部所在地是什么？,1,unknown_controlled_v3,chemical_compound,氢氧化钙,总部所在地,18,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0099,请回答：Go的主要设计者是什么？,0,known_controlled_v3,programming_language,Go,主要设计者,16,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0100,请回答：Prolog的所在山脉是什么？,1,unknown_controlled_v3,programming_language,Prolog,所在山脉,19,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0101,请回答：光强的国际单位是什么？,0,known_controlled_v3,physical_quantity,光强,国际单位,15,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0102,请回答：《浮士德》的首都是什么？,1,unknown_controlled_v3,book,《浮士德》,首都,16,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0103,请回答：泰戈尔的国际单位是什么？,1,unknown_controlled_v3,person,泰戈尔,国际单位,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0104,请回答：华盛顿的出生国家是什么？,0,known_controlled_v3,person,华盛顿,出生国家,16,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0105,请回答：碳酸钙的化学式是什么？,0,known_controlled_v3,chemical_compound,碳酸钙,化学式,15,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0106,请回答：氯化钾的总部所在地是什么？,1,unknown_controlled_v3,chemical_compound,氯化钾,总部所在地,17,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0107,请回答：《茶馆》的作者是什么？,0,known_controlled_v3,book,《茶馆》,作者,15,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0108,请回答：硫化氢的化学式是什么？,0,known_controlled_v3,chemical_compound,硫化氢,化学式,15,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0109,请回答：勃朗峰的所在山脉是什么？,0,known_controlled_v3,mountain,勃朗峰,所在山脉,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0110,请回答：磷的化学符号是什么？,0,known_controlled_v3,element,磷,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0111,请回答：五台山的所在山脉是什么？,0,known_controlled_v3,mountain,五台山,所在山脉,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0112,请回答：红十字国际委员会的总部所在地是什么？,0,known_controlled_v3,organization,红十字国际委员会,总部所在地,22,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0113,请回答：物质的量的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,物质的量,出生国家,17,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0114,请回答：硝酸的化学式是什么？,0,known_controlled_v3,chemical_compound,硝酸,化学式,14,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0115,请回答：《雷雨》的作者是什么？,0,known_controlled_v3,book,《雷雨》,作者,15,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0116,请回答：韩国的首都是什么？,0,known_controlled_v3,country,韩国,首都,13,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0117,请回答：欧盟委员会的总部所在地是什么？,0,known_controlled_v3,organization,欧盟委员会,总部所在地,19,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0118,请回答：银的化学符号是什么？,0,known_controlled_v3,element,银,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0119,请回答：印度的首都是什么？,0,known_controlled_v3,country,印度,首都,13,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0120,请回答：弗洛伊德的出生国家是什么？,0,known_controlled_v3,person,弗洛伊德,出生国家,17,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0121,请回答：伏尔加河的主要流经大洲是什么？,0,known_controlled_v3,river,伏尔加河,主要流经大洲,19,14,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0122,请回答：芬兰的首都是什么？,0,known_controlled_v3,country,芬兰,首都,13,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0123,请回答：氧气的化学式是什么？,0,known_controlled_v3,chemical_compound,氧气,化学式,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0124,请回答：《活着》的首都是什么？,1,unknown_controlled_v3,book,《活着》,首都,15,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0125,请回答：赞比西河的主要流经大洲是什么？,0,known_controlled_v3,river,赞比西河,主要流经大洲,19,14,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0126,请回答：《老人与海》的作者是什么？,0,known_controlled_v3,book,《老人与海》,作者,17,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0127,请回答：底格里斯河的化学符号是什么？,1,unknown_controlled_v3,river,底格里斯河,化学符号,18,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0128,请回答：二氧化硅的化学式是什么？,0,known_controlled_v3,chemical_compound,二氧化硅,化学式,16,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0129,请回答：甲烷的总部所在地是什么？,1,unknown_controlled_v3,chemical_compound,甲烷,总部所在地,16,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0130,请回答：乞力马扎罗山的所在山脉是什么？,0,known_controlled_v3,mountain,乞力马扎罗山,所在山脉,19,14,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0131,请回答：照度的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,照度,出生国家,15,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0132,请回答：质量的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,质量,出生国家,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0133,请回答：哥白尼的国际单位是什么？,1,unknown_controlled_v3,person,哥白尼,国际单位,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0134,请回答：热量的国际单位是什么？,0,known_controlled_v3,physical_quantity,热量,国际单位,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0135,请回答：时间的国际单位是什么？,0,known_controlled_v3,physical_quantity,时间,国际单位,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0136,请回答：电压的国际单位是什么？,0,known_controlled_v3,physical_quantity,电压,国际单位,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0137,请回答：安纳布尔纳峰的主要设计者是什么？,1,unknown_controlled_v3,mountain,安纳布尔纳峰,主要设计者,20,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0138,请回答：Kotlin的主要设计者是什么？,0,known_controlled_v3,programming_language,Kotlin,主要设计者,20,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0139,请回答：珠江的主要流经大洲是什么？,0,known_controlled_v3,river,珠江,主要流经大洲,17,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0140,请回答：磁通量的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,磁通量,出生国家,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0141,请回答：英国的作者是什么？,1,unknown_controlled_v3,country,英国,作者,13,8,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0142,请回答：Ruby的主要设计者是什么？,0,known_controlled_v3,programming_language,Ruby,主要设计者,18,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0143,请回答：钾的主要流经大洲是什么？,1,unknown_controlled_v3,element,钾,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0144,请回答：氯化银的总部所在地是什么？,1,unknown_controlled_v3,chemical_compound,氯化银,总部所在地,17,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0145,请回答：铬的主要流经大洲是什么？,1,unknown_controlled_v3,element,铬,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0146,请回答：峨眉山的所在山脉是什么？,0,known_controlled_v3,mountain,峨眉山,所在山脉,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0147,请回答：国际能源署的化学式是什么？,1,unknown_controlled_v3,organization,国际能源署,化学式,17,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0148,请回答：《骆驼祥子》的作者是什么？,0,known_controlled_v3,book,《骆驼祥子》,作者,17,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0149,请回答：氯气的化学式是什么？,0,known_controlled_v3,chemical_compound,氯气,化学式,14,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0150,请回答：国际劳工组织的化学式是什么？,1,unknown_controlled_v3,organization,国际劳工组织,化学式,18,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0151,请回答：欧盟委员会的化学式是什么？,1,unknown_controlled_v3,organization,欧盟委员会,化学式,17,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0152,请回答：臭氧的总部所在地是什么？,1,unknown_controlled_v3,chemical_compound,臭氧,总部所在地,16,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0153,请回答：玉山的主要设计者是什么？,1,unknown_controlled_v3,mountain,玉山,主要设计者,16,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0154,请回答：《子夜》的首都是什么？,1,unknown_controlled_v3,book,《子夜》,首都,15,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0155,请回答：波兰的作者是什么？,1,unknown_controlled_v3,country,波兰,作者,13,8,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0156,请回答：联合国教科文组织的化学式是什么？,1,unknown_controlled_v3,organization,联合国教科文组织,化学式,20,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0157,请回答：《红楼梦》的作者是什么？,0,known_controlled_v3,book,《红楼梦》,作者,16,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0158,请回答：安徒生的国际单位是什么？,1,unknown_controlled_v3,person,安徒生,国际单位,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0159,请回答：乙酸的化学式是什么？,0,known_controlled_v3,chemical_compound,乙酸,化学式,14,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0160,请回答：幼发拉底河的主要流经大洲是什么？,0,known_controlled_v3,river,幼发拉底河,主要流经大洲,20,15,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0161,请回答：国际货币基金组织的总部所在地是什么？,0,known_controlled_v3,organization,国际货币基金组织,总部所在地,22,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0162,请回答：《悲惨世界》的作者是什么？,0,known_controlled_v3,book,《悲惨世界》,作者,17,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0163,请回答：非洲联盟的化学式是什么？,1,unknown_controlled_v3,organization,非洲联盟,化学式,16,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0164,请回答：《三国演义》的首都是什么？,1,unknown_controlled_v3,book,《三国演义》,首都,17,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0165,请回答：亚里士多德的国际单位是什么？,1,unknown_controlled_v3,person,亚里士多德,国际单位,18,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0166,请回答：温度的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,温度,出生国家,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0167,请回答：JavaScript的主要设计者是什么？,0,known_controlled_v3,programming_language,JavaScript,主要设计者,24,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0168,请回答：金的化学符号是什么？,0,known_controlled_v3,element,金,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
