id,prompt,label,type,category,entity,relation,char_len,token_len,token_len_source
ctrlv3_0015,请回答：联合国教科文组织的总部所在地是什么？,0,known_controlled_v3,organization,联合国教科文组织,总部所在地,22,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0016,请回答：速度的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,速度,出生国家,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0017,请回答：门捷列夫的出生国家是什么？,0,known_controlled_v3,person,门捷列夫,出生国家,17,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0018,请回答：珠穆朗玛峰的所在山脉是什么？,0,known_controlled_v3,mountain,珠穆朗玛峰,所在山脉,18,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0019,请回答：铅的化学符号是什么？,0,known_controlled_v3,element,铅,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0020,请回答：维苏威火山的主要设计者是什么？,1,unknown_controlled_v3,mountain,维苏威火山,主要设计者,19,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0021,请回答：功率的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,功率,出生国家,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0022,请回答：银的主要流经大洲是什么？,1,unknown_controlled_v3,element,银,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0023,请回答：Python的所在山脉是什么？,1,unknown_controlled_v3,programming_language,Python,所在山脉,19,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0024,请回答：勒拿河的主要流经大洲是什么？,0,known_controlled_v3,river,勒拿河,主要流经大洲,18,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0025,请回答：丘吉尔的国际单位是什么？,1,unknown_controlled_v3,person,丘吉尔,国际单位,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0026,请回答：黄山的主要设计者是什么？,1,unknown_controlled_v3,mountain,黄山,主要设计者,16,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0027,请回答：硅的主要流经大洲是什么？,1,unknown_controlled_v3,element,硅,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0028,请回答：国际标准化组织的总部所在地是什么？,0,known_controlled_v3,organization,国际标准化组织,总部所在地,21,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0029,请回答：肯尼亚的作者是什么？,1,unknown_controlled_v3,country,肯尼亚,作者,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0030,请回答：钾的化学符号是什么？,0,known_controlled_v3,element,钾,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0031,请回答：尼罗河的化学符号是什么？,1,unknown_controlled_v3,river,尼罗河,化学符号,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0032,请回答：钠的化学符号是什么？,0,known_controlled_v3,element,钠,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0033,请回答：多瑙河的化学符号是什么？,1,unknown_controlled_v3,river,多瑙河,化学符号,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0034,请回答：墨西哥的首都是什么？,0,known_controlled_v3,country,墨西哥,首都,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0035,请回答：莫扎特的国际单位是什么？,1,unknown_controlled_v3,person,莫扎特,国际单位,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0036,请回答：汞的主要流经大洲是什么？,1,unknown_controlled_v3,element,汞,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0037,请回答：C++的所在山脉是什么？,1,unknown_controlled_v3,programming_language,C++,所在山脉,16,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0038,请回答：长度的国际单位是什么？,0,known_controlled_v3,physical_quantity,长度,国际单位,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0039,请回答：越南的作者是什么？,1,unknown_controlled_v3,country,越南,作者,13,8,Qwen/Qwen2.5-0.5B-Instruct
