id,entity,relation,category,pk_answer,ck_answer,context,question,prompt,conflict_type,prompt_style,prompt_language,expected_later_labels
pkck_0033,泰国,首都,country_capital,曼谷,巴黎,材料中写道：泰国的首都是巴黎。,泰国的首都是什么？,"背景：材料中写道：泰国的首都是巴黎。
问题：泰国的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0034,智利,首都,country_capital,圣地亚哥,东京,材料中写道：智利的首都是东京。,智利的首都是什么？,"背景：材料中写道：智利的首都是东京。
问题：智利的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0035,瑞典,首都,country_capital,斯德哥尔摩,渥太华,材料中写道：瑞典的首都是渥太华。,瑞典的首都是什么？,"背景：材料中写道：瑞典的首都是渥太华。
问题：瑞典的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0036,挪威,首都,country_capital,奥斯陆,堪培拉,材料中写道：挪威的首都是堪培拉。,挪威的首都是什么？,"背景：材料中写道：挪威的首都是堪培拉。
问题：挪威的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0037,希腊,首都,country_capital,雅典,柏林,材料中写道：希腊的首都是柏林。,希腊的首都是什么？,"背景：材料中写道：希腊的首都是柏林。
问题：希腊的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0038,葡萄牙,首都,country_capital,里斯本,罗马,材料中写道：葡萄牙的首都是罗马。,葡萄牙的首都是什么？,"背景：材料中写道：葡萄牙的首都是罗马。
问题：葡萄牙的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0039,韩国,首都,country_capital,首尔,马德里,材料中写道：韩国的首都是马德里。,韩国的首都是什么？,"背景：材料中写道：韩国的首都是马德里。
问题：韩国的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0040,氧,元素符号,element_symbol,O,N,材料中写道：氧的元素符号是N。,氧的元素符号是什么？,"背景：材料中写道：氧的元素符号是N。
问题：氧的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0041,氢,元素符号,element_symbol,H,He,材料中写道：氢的元素符号是He。,氢的元素符号是什么？,"背景：材料中写道：氢的元素符号是He。
问题：氢的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0042,钠,元素符号,element_symbol,Na,Cu,材料中写道：钠的元素符号是Cu。,钠的元素符号是什么？,"背景：材料中写道：钠的元素符号是Cu。
问题：钠的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0043,铁,元素符号,element_symbol,Fe,Ca,材料中写道：铁的元素符号是Ca。,铁的元素符号是什么？,"背景：材料中写道：铁的元素符号是Ca。
问题：铁的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0044,金,元素符号,element_symbol,Au,K,材料中写道：金的元素符号是K。,金的元素符号是什么？,"背景：材料中写道：金的元素符号是K。
问题：金的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0045,银,元素符号,element_symbol,Ag,Cl,材料中写道：银的元素符号是Cl。,银的元素符号是什么？,"背景：材料中写道：银的元素符号是Cl。
问题：银的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0046,碳,元素符号,element_symbol,C,Mg,材料中写道：碳的元素符号是Mg。,碳的元素符号是什么？,"背景：材料中写道：碳的元素符号是Mg。
问题：碳的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0047,氮,元素符号,element_symbol,N,Zn,材料中写道：氮的元素符号是Zn。,氮的元素符号是什么？,"背景：材料中写道：氮的元素符号是Zn。
问题：氮的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0048,氦,元素符号,element_symbol,He,Pb,材料中写道：氦的元素符号是Pb。,氦的元素符号是什么？,"背景：材料中写道：氦的元素符号是Pb。
问题：氦的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0049,铜,元素符号,element_symbol,Cu,Sn,材料中写道：铜的元素符号是Sn。,铜的元素符号是什么？,"背景：材料中写道：铜的元素符号是Sn。
问题：铜的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0050,钙,元素符号,element_symbol,Ca,Hg,材料中写道：钙的元素符号是Hg。,钙的元素符号是什么？,"背景：材料中写道：钙的元素符号是Hg。
问题：钙的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0051,钾,元素符号,element_symbol,K,Si,材料中写道：钾的元素符号是Si。,钾的元素符号是什么？,"背景：材料中写道：钾的元素符号是Si。
问题：钾的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0052,氯,元素符号,element_symbol,Cl,S,材料中写道：氯的元素符号是S。,氯的元素符号是什么？,"背景：材料中写道：氯的元素符号是S。
问题：氯的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0053,镁,元素符号,element_symbol,Mg,O,材料中写道：镁的元素符号是O。,镁的元素符号是什么？,"背景：材料中写道：镁的元素符号是O。
问题：镁的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0054,锌,元素符号,element_symbol,Zn,H,材料中写道：锌的元素符号是H。,锌的元素符号是什么？,"背景：材料中写道：锌的元素符号是H。
问题：锌的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0055,铅,元素符号,element_symbol,Pb,Na,材料中写道：铅的元素符号是Na。,铅的元素符号是什么？,"背景：材料中写道：铅的元素符号是Na。
问题：铅的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0056,锡,元素符号,element_symbol,Sn,Fe,材料中写道：锡的元素符号是Fe。,锡的元素符号是什么？,"背景：材料中写道：锡的元素符号是Fe。
问题：锡的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0057,汞,元素符号,element_symbol,Hg,Au,材料中写道：汞的元素符号是Au。,汞的元素符号是什么？,"背景：材料中写道：汞的元素符号是Au。
问题：汞的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0058,硅,元素符号,element_symbol,Si,Ag,材料中写道：硅的元素符号是Ag。,硅的元素符号是什么？,"背景：材料中写道：硅的元素符号是Ag。
问题：硅的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0059,硫,元素符号,element_symbol,S,C,材料中写道：硫的元素符号是C。,硫的元素符号是什么？,"背景：材料中写道：硫的元素符号是C。
问题：硫的元素符号是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0060,水,化学式,chemical_formula,H2O,HNO3,材料中写道：水的化学式是HNO3。,水的化学式是什么？,"背景：材料中写道：水的化学式是HNO3。
问题：水的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0061,二氧化碳,化学式,chemical_formula,CO2,C6H12O6,材料中写道：二氧化碳的化学式是C6H12O6。,二氧化碳的化学式是什么？,"背景：材料中写道：二氧化碳的化学式是C6H12O6。
问题：二氧化碳的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0062,甲烷,化学式,chemical_formula,CH4,C2H5OH,材料中写道：甲烷的化学式是C2H5OH。,甲烷的化学式是什么？,"背景：材料中写道：甲烷的化学式是C2H5OH。
问题：甲烷的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0063,氨,化学式,chemical_formula,NH3,CH3COOH,材料中写道：氨的化学式是CH3COOH。,氨的化学式是什么？,"背景：材料中写道：氨的化学式是CH3COOH。
问题：氨的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0064,氯化钠,化学式,chemical_formula,NaCl,CaCO3,材料中写道：氯化钠的化学式是CaCO3。,氯化钠的化学式是什么？,"背景：材料中写道：氯化钠的化学式是CaCO3。
问题：氯化钠的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0065,硫酸,化学式,chemical_formula,H2SO4,NaOH,材料中写道：硫酸的化学式是NaOH。,硫酸的化学式是什么？,"背景：材料中写道：硫酸的化学式是NaOH。
问题：硫酸的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0066,盐酸,化学式,chemical_formula,HCl,KNO3,材料中写道：盐酸的化学式是KNO3。,盐酸的化学式是什么？,"背景：材料中写道：盐酸的化学式是KNO3。
问题：盐酸的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0067,硝酸,化学式,chemical_formula,HNO3,O3,材料中写道：硝酸的化学式是O3。,硝酸的化学式是什么？,"背景：材料中写道：硝酸的化学式是O3。
问题：硝酸的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0068,葡萄糖,化学式,chemical_formula,C6H12O6,H2O2,材料中写道：葡萄糖的化学式是H2O2。,葡萄糖的化学式是什么？,"背景：材料中写道：葡萄糖的化学式是H2O2。
问题：葡萄糖的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0069,乙醇,化学式,chemical_formula,C2H5OH,O2,材料中写道：乙醇的化学式是O2。,乙醇的化学式是什么？,"背景：材料中写道：乙醇的化学式是O2。
问题：乙醇的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0070,乙酸,化学式,chemical_formula,CH3COOH,N2,材料中写道：乙酸的化学式是N2。,乙酸的化学式是什么？,"背景：材料中写道：乙酸的化学式是N2。
问题：乙酸的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0071,碳酸钙,化学式,chemical_formula,CaCO3,CO,材料中写道：碳酸钙的化学式是CO。,碳酸钙的化学式是什么？,"背景：材料中写道：碳酸钙的化学式是CO。
问题：碳酸钙的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0072,氢氧化钠,化学式,chemical_formula,NaOH,NaHCO3,材料中写道：氢氧化钠的化学式是NaHCO3。,氢氧化钠的化学式是什么？,"背景：材料中写道：氢氧化钠的化学式是NaHCO3。
问题：氢氧化钠的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0073,硝酸钾,化学式,chemical_formula,KNO3,H2O,材料中写道：硝酸钾的化学式是H2O。,硝酸钾的化学式是什么？,"背景：材料中写道：硝酸钾的化学式是H2O。
问题：硝酸钾的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0074,臭氧,化学式,chemical_formula,O3,CO2,材料中写道：臭氧的化学式是CO2。,臭氧的化学式是什么？,"背景：材料中写道：臭氧的化学式是CO2。
问题：臭氧的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0075,过氧化氢,化学式,chemical_formula,H2O2,CH4,材料中写道：过氧化氢的化学式是CH4。,过氧化氢的化学式是什么？,"背景：材料中写道：过氧化氢的化学式是CH4。
问题：过氧化氢的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0076,氧气,化学式,chemical_formula,O2,NH3,材料中写道：氧气的化学式是NH3。,氧气的化学式是什么？,"背景：材料中写道：氧气的化学式是NH3。
问题：氧气的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0077,氮气,化学式,chemical_formula,N2,NaCl,材料中写道：氮气的化学式是NaCl。,氮气的化学式是什么？,"背景：材料中写道：氮气的化学式是NaCl。
问题：氮气的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0078,一氧化碳,化学式,chemical_formula,CO,H2SO4,材料中写道：一氧化碳的化学式是H2SO4。,一氧化碳的化学式是什么？,"背景：材料中写道：一氧化碳的化学式是H2SO4。
问题：一氧化碳的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0079,碳酸氢钠,化学式,chemical_formula,NaHCO3,HCl,材料中写道：碳酸氢钠的化学式是HCl。,碳酸氢钠的化学式是什么？,"背景：材料中写道：碳酸氢钠的化学式是HCl。
问题：碳酸氢钠的化学式是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0080,尼罗河,主要流经大洲,river_continent,非洲,欧洲,材料中写道：尼罗河的主要流经大洲是欧洲。,尼罗河的主要流经大洲是什么？,"背景：材料中写道：尼罗河的主要流经大洲是欧洲。
问题：尼罗河的主要流经大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0081,亚马孙河,主要流经大洲,river_continent,南美洲,亚洲,材料中写道：亚马孙河的主要流经大洲是亚洲。,亚马孙河的主要流经大洲是什么？,"背景：材料中写道：亚马孙河的主要流经大洲是亚洲。
问题：亚马孙河的主要流经大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0082,长江,主要流经大洲,river_continent,亚洲,欧洲,材料中写道：长江的主要流经大洲是欧洲。,长江的主要流经大洲是什么？,"背景：材料中写道：长江的主要流经大洲是欧洲。
问题：长江的主要流经大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0083,密西西比河,主要流经大洲,river_continent,北美洲,亚洲,材料中写道：密西西比河的主要流经大洲是亚洲。,密西西比河的主要流经大洲是什么？,"背景：材料中写道：密西西比河的主要流经大洲是亚洲。
问题：密西西比河的主要流经大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0084,多瑙河,主要流经大洲,river_continent,欧洲,非洲,材料中写道：多瑙河的主要流经大洲是非洲。,多瑙河的主要流经大洲是什么？,"背景：材料中写道：多瑙河的主要流经大洲是非洲。
问题：多瑙河的主要流经大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0085,恒河,主要流经大洲,river_continent,亚洲,大洋洲,材料中写道：恒河的主要流经大洲是大洋洲。,恒河的主要流经大洲是什么？,"背景：材料中写道：恒河的主要流经大洲是大洋洲。
问题：恒河的主要流经大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0086,刚果河,主要流经大洲,river_continent,非洲,南美洲,材料中写道：刚果河的主要流经大洲是南美洲。,刚果河的主要流经大洲是什么？,"背景：材料中写道：刚果河的主要流经大洲是南美洲。
问题：刚果河的主要流经大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0087,伏尔加河,主要流经大洲,river_continent,欧洲,非洲,材料中写道：伏尔加河的主要流经大洲是非洲。,伏尔加河的主要流经大洲是什么？,"背景：材料中写道：伏尔加河的主要流经大洲是非洲。
问题：伏尔加河的主要流经大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
