id,entity,relation,category,pk_answer,ck_answer,context,question,prompt,conflict_type,prompt_style,prompt_language,expected_later_labels,source_id,instruction_strength,split_group,expected_later_splits
pkck_0005_s0,澳大利亚,所在大洲,country_continent,大洋洲,非洲,材料中写道：澳大利亚的所在大洲是非洲。,澳大利亚的所在大洲是什么？,"背景：材料中写道：澳大利亚的所在大洲是非洲。
问题：澳大利亚的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0005,neutral,pkck_0005,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0005_s1,澳大利亚,所在大洲,country_continent,大洋洲,非洲,材料中写道：澳大利亚的所在大洲是非洲。,澳大利亚的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：澳大利亚的所在大洲是非洲。
问：澳大利亚的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0005,context_priority,pkck_0005,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0005_s2,澳大利亚,所在大洲,country_continent,大洋洲,非洲,材料中写道：澳大利亚的所在大洲是非洲。,澳大利亚的所在大洲是什么？,"材料：材料中写道：澳大利亚的所在大洲是非洲。
澳大利亚的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0005,neutral_short,pkck_0005,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0005_s3,澳大利亚,所在大洲,country_continent,大洋洲,非洲,材料中写道：澳大利亚的所在大洲是非洲。,澳大利亚的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：澳大利亚的所在大洲是非洲。
问题：澳大利亚的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0005,explicit_context_priority,pkck_0005,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0006_s0,肯尼亚,所在大洲,country_continent,非洲,南美洲,材料中写道：肯尼亚的所在大洲是南美洲。,肯尼亚的所在大洲是什么？,"背景：材料中写道：肯尼亚的所在大洲是南美洲。
问题：肯尼亚的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0006,neutral,pkck_0006,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0006_s1,肯尼亚,所在大洲,country_continent,非洲,南美洲,材料中写道：肯尼亚的所在大洲是南美洲。,肯尼亚的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：肯尼亚的所在大洲是南美洲。
问：肯尼亚的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0006,context_priority,pkck_0006,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0006_s2,肯尼亚,所在大洲,country_continent,非洲,南美洲,材料中写道：肯尼亚的所在大洲是南美洲。,肯尼亚的所在大洲是什么？,"材料：材料中写道：肯尼亚的所在大洲是南美洲。
肯尼亚的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0006,neutral_short,pkck_0006,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0006_s3,肯尼亚,所在大洲,country_continent,非洲,南美洲,材料中写道：肯尼亚的所在大洲是南美洲。,肯尼亚的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：肯尼亚的所在大洲是南美洲。
问题：肯尼亚的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0006,explicit_context_priority,pkck_0006,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0007_s0,阿根廷,所在大洲,country_continent,南美洲,欧洲,材料中写道：阿根廷的所在大洲是欧洲。,阿根廷的所在大洲是什么？,"背景：材料中写道：阿根廷的所在大洲是欧洲。
问题：阿根廷的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0007,neutral,pkck_0007,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0007_s1,阿根廷,所在大洲,country_continent,南美洲,欧洲,材料中写道：阿根廷的所在大洲是欧洲。,阿根廷的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：阿根廷的所在大洲是欧洲。
问：阿根廷的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0007,context_priority,pkck_0007,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0007_s2,阿根廷,所在大洲,country_continent,南美洲,欧洲,材料中写道：阿根廷的所在大洲是欧洲。,阿根廷的所在大洲是什么？,"材料：材料中写道：阿根廷的所在大洲是欧洲。
阿根廷的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0007,neutral_short,pkck_0007,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0007_s3,阿根廷,所在大洲,country_continent,南美洲,欧洲,材料中写道：阿根廷的所在大洲是欧洲。,阿根廷的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：阿根廷的所在大洲是欧洲。
问题：阿根廷的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0007,explicit_context_priority,pkck_0007,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0008_s0,墨西哥,所在大洲,country_continent,北美洲,亚洲,材料中写道：墨西哥的所在大洲是亚洲。,墨西哥的所在大洲是什么？,"背景：材料中写道：墨西哥的所在大洲是亚洲。
问题：墨西哥的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0008,neutral,pkck_0008,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0008_s1,墨西哥,所在大洲,country_continent,北美洲,亚洲,材料中写道：墨西哥的所在大洲是亚洲。,墨西哥的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：墨西哥的所在大洲是亚洲。
问：墨西哥的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0008,context_priority,pkck_0008,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0008_s2,墨西哥,所在大洲,country_continent,北美洲,亚洲,材料中写道：墨西哥的所在大洲是亚洲。,墨西哥的所在大洲是什么？,"材料：材料中写道：墨西哥的所在大洲是亚洲。
墨西哥的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0008,neutral_short,pkck_0008,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0008_s3,墨西哥,所在大洲,country_continent,北美洲,亚洲,材料中写道：墨西哥的所在大洲是亚洲。,墨西哥的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：墨西哥的所在大洲是亚洲。
问题：墨西哥的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0008,explicit_context_priority,pkck_0008,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0009_s0,印度,所在大洲,country_continent,亚洲,非洲,材料中写道：印度的所在大洲是非洲。,印度的所在大洲是什么？,"背景：材料中写道：印度的所在大洲是非洲。
问题：印度的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0009,neutral,pkck_0009,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0009_s1,印度,所在大洲,country_continent,亚洲,非洲,材料中写道：印度的所在大洲是非洲。,印度的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：印度的所在大洲是非洲。
问：印度的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0009,context_priority,pkck_0009,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0009_s2,印度,所在大洲,country_continent,亚洲,非洲,材料中写道：印度的所在大洲是非洲。,印度的所在大洲是什么？,"材料：材料中写道：印度的所在大洲是非洲。
印度的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0009,neutral_short,pkck_0009,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0009_s3,印度,所在大洲,country_continent,亚洲,非洲,材料中写道：印度的所在大洲是非洲。,印度的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：印度的所在大洲是非洲。
问题：印度的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0009,explicit_context_priority,pkck_0009,source_id_group_split|prompt_style_heldout_split|category_heldout_split
